ຊື່ແຂວງ(1),2010,2010,2005,2005,2000,2000,2005-2010,2000-2005,2000-2010
ນຄ. ຫຼວງວຽງຈັນ,769,385,698,350,598,298,2.022900763,3.392857143,2.707878953
ຜົ້ງສາລີ,176,88,166,83,174,88,1.204819277,-0.992366412,0.106226432
ຫຼວງນ້ຳທາ,164,83,145,74,131,67,2.557077626,2.121212121,2.339144873
ອຸດົມໄຊ,300,150,265,133,240,121,2.613065327,2.049861496,2.331463411
ບໍ່ແກ້ວ,166,83,145,73,130,66,2.844036697,2.244897959,2.544467328
ຫຼວງພະບາງ,448,223,407,203,416,210,2,-0.511182109,0.744408946
ຫົວພັນ,318,158,281,139,279,140,2.666666667,0.047732697,1.357199682
ໄຊຍະບູລີ,375,185,339,168,333,166,2.090729783,0.320641283,1.205685533
ຊຽງຂວາງ,270,134,230,114,229,115,3.488372093,0,1.744186047
ວຽງຈັນ,480,236,389,191,327,162,4.689655172,3.721881391,4.205768282
ບໍລິຄຳໄຊ,265,131,225,111,187,93,3.571428571,4,3.785714286
ຄຳມ່ວນ,376,191,337,172,311,160,2.278978389,1.61358811,1.94628325
ສະຫວັນນະເຂດ,906,458,825,419,766,391,1.92926045,1.503889369,1.71657491
ສາລະວັນ,367,186,324,166,292,151,2.571428571,2.121896163,2.346662367
ເຊກອງ,98,49,85,43,73,37,2.96875,3.272727273,3.120738636
ຈຳປາສັກ,653,329,607,307,572,293,1.487964989,1.132947977,1.310456483
ອັດຕະປື,127,65,112,57,100,51,2.721893491,2.38410596,2.552999726
ໄຊສົມບູນ,-,-,39,19,62,31,,-7.52688172,-7.52688172
