"Cities, provincies",Total 2001,Total 2002,Total 2003,Total 2004,Total 2005,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,,,,,,,,,,Pop 2001-2010
Red River Delta,18249.9,18432.9,18617.5,18807.9,18976.7,19108.9,19228.8,19473.7,19618.1,19851.9,0.010027452,0.010014702,0.010226937,0.008974952,0.006966438,0.006274563,0.012736104,0.007415129,0.011917566,0.939487149
Ha Noi,2852.9,2928.3,3000.3,3071.4,3133.4,3184.8,3228.5,6381.8,6472,6633.6,0.026429247,0.024587645,0.02369763,0.020186234,0.016403906,0.013721427,0.976707449,0.014133943,0.024969098,12.675962
Ha Tay,2475.5,2527,2587.3,2649.1,2702.9,2742.4,2773.7,..,..,..,0.020803878,0.023862287,0.023885904,0.020308784,0.014613933,0.011413361,,,,1.914802456
Vinh Phuc,1114.1,1124.3,1134.1,1145.2,1157,1166,1174.1,993.8,1000.4,1007.6,0.009155372,0.008716535,0.009787497,0.010303877,0.007778738,0.006946827,-0.153564432,0.006641175,0.007197121,-0.967081005
Bac Ninh,958.9,967.6,975.3,983.2,991.1,999.8,1009.4,1018.1,1026.5,1044.2,0.009072896,0.007957834,0.008100072,0.008034988,0.008778125,0.00960192,0.008618982,0.008250663,0.017243059,0.95176154
Quang Ninh,1039.3,1054.4,1068.4,1081.8,1096.1,1109.3,1122.5,1135.1,1146.1,1157.2,0.01452901,0.013277693,0.012542119,0.01321871,0.012042697,0.011899396,0.011224944,0.009690776,0.009685019,1.201226267
Hai Duong,1662.7,1668.1,1673.7,1680.4,1685.5,1689.7,1694.7,1700.8,1706.8,1716.4,0.00324773,0.003357113,0.004003107,0.003034992,0.002491842,0.002959105,0.003599457,0.003527752,0.005624561,0.353840642
Hai Phong city,1708.6,1725.3,1741,1757.8,1773.4,1789.1,1806.5,1824.1,1840.4,1857.8,0.009774084,0.009099867,0.009649627,0.00887473,0.008853051,0.00972556,0.009742596,0.008935914,0.009454466,0.934554382
Hung Yen,1086,1091.5,1097,1104.3,1111,1116.4,1121.3,1126.2,1128.6,1132.3,0.005064457,0.005038937,0.006654512,0.006067192,0.004860486,0.004389108,0.004369928,0.00213106,0.003278398,0.465045311
Thai Binh,1790.3,1790.9,1790.9,1791.2,1790.5,1787.4,1783.9,1782.7,1783.1,1784.7,0.000335139,0,0.000167514,-0.000390799,-0.00173136,-0.001958152,-0.000672683,0.000224379,0.000897314,-0.034762767
Ha Nam,793.2,792.8,792.3,791.9,791.3,790,788.4,786.9,786.2,786.3,-0.000504286,-0.000630676,-0.000504859,-0.000757671,-0.001642866,-0.002025316,-0.001902588,-0.000889567,0.000127194,-0.097007066
Nam Dinh,1879.7,1872.8,1866.3,1859.4,1851,1839.4,1829.7,1826.1,1828.4,1830,-0.003670799,-0.003470739,-0.003697155,-0.004517586,-0.006266883,-0.005273459,-0.001967536,0.001259515,0.000875082,-0.2969951
Ninh Binh,888.7,889.9,890.9,892.2,893.5,894.6,896.1,898.1,899.6,901.7,0.001350287,0.001123722,0.001459199,0.001457072,0.001231114,0.001676727,0.002231894,0.001670193,0.002334371,0.161495306
Northern midlands and mountain areas,10321.8,10440,10559.5,10681,10798.7,10904.3,11004.2,10997.3,11073.5,11184.3,0.011451491,0.01144636,0.011506227,0.011019567,0.009778955,0.009161523,-0.000627033,0.006928973,0.01000587,0.896354818
Ha Giang,631.6,643.9,656.2,669,681.7,693.4,704.9,716.2,725.1,733.8,0.019474351,0.019102345,0.019506248,0.018983558,0.017162975,0.016584944,0.016030643,0.012426696,0.011998345,1.680778938
Cao Bang,496.2,498.7,500.8,502.8,504.9,506.8,508.6,510.5,511.2,513.1,0.005038291,0.004210948,0.00399361,0.004176611,0.003763121,0.003551697,0.003735745,0.001371205,0.003716745,0.372866376
Bac Kan,280.5,282.5,284.4,286.5,288.4,290,291.8,293.6,294.6,297.5,0.007130125,0.006725664,0.007383966,0.006631763,0.00554785,0.006206897,0.006168609,0.003405995,0.009843856,0.656052482
Tuyen Quang,690.2,696.3,701.9,707.5,712.1,715.7,719.4,723.5,725.2,729.3,0.008838018,0.00804251,0.007978344,0.006501767,0.00505547,0.005169764,0.005699194,0.002349689,0.005653613,0.614315209
Lao Cai,616.6,625.7,634.2,573.9,581.4,590.2,598.3,606.5,615.8,626.8,0.014758352,0.013584785,-0.095080416,0.013068479,0.015135879,0.013724161,0.013705499,0.015333883,0.017862943,0.245484049
Yen Bai,694.1,700.1,706.8,713.5,719.5,725.4,731.6,737.5,741.7,751.3,0.008644288,0.009570061,0.009479344,0.00840925,0.008200139,0.008547009,0.008064516,0.005694915,0.012943239,0.883919557
Thai Nguyen,1063.6,1071,1079.5,1089,1098.5,1106.5,1113,1120.3,1125.4,1131.3,0.006957503,0.007936508,0.008800371,0.0087236,0.007282658,0.005874379,0.00655885,0.004552352,0.00524258,0.68809778
Lang Son,710.5,713.2,716.7,720.5,724.1,726.3,728.2,730.7,733.2,736.3,0.003800141,0.004907459,0.005302079,0.00499653,0.003038254,0.002615999,0.003433123,0.003421377,0.004228041,0.397144484
Bac Giang,1509.1,1515.8,1522.6,1530.3,1537.3,1543,1548.8,1554.6,1556.9,1569.8,0.004439732,0.00448608,0.005057139,0.004574266,0.003707799,0.003758911,0.003744835,0.00147948,0.008285696,0.439265993
Phu Tho,1276,1281.4,1286.3,1291.7,1297.3,1301.5,1305.6,1311.5,1316.6,1322.7,0.004231975,0.003823943,0.004198088,0.004335372,0.003237493,0.003150211,0.004518995,0.003888677,0.004633146,0.400198886
Dien Bien,..,..,..,423.3,438.5,452.7,466,479.3,490.8,501.2,,,,0.035908339,0.032383124,0.02937928,0.028540773,0.023993324,0.021189894,2.856578893
Lai Chau,638.7,661.6,684.7,351.3,356.7,360.7,364.4,367.9,371.4,380.8,0.035854079,0.034915357,-0.486928582,0.015371477,0.011213905,0.010257832,0.00960483,0.009513455,0.025309639,-3.720977868
Son La,931.4,953,974.5,994.6,1014.5,1033.5,1050.8,1067.2,1079.2,1098.9,0.023190895,0.022560336,0.020625962,0.020008043,0.018728438,0.016739236,0.015607156,0.011244378,0.018254262,1.85509674
Hoa Binh,783.3,796.8,810.9,827.1,843.8,858.6,872.8,778,786.4,791.6,0.017234776,0.017695783,0.019977802,0.020191029,0.017539701,0.016538551,-0.108615949,0.010796915,0.006612411,0.199678004
